taxonomic_group	taxon_primer_hits	taxon_primer_misses	taxon_total_observed	total_filtered_seqs	fraction_total_filtered_sequences_mismatched	fraction_taxon_mismatched
d:Bacteria,p:Spirochaetes,c:Spirochaetia,o:Spirochaetales		0	0	4360	0	0
d:Bacteria,p:Spirochaetes,c:MVP-15,o:uncultured_bacterium		0	0	4360	0	0
d:Bacteria,p:Spirochaetes,c:Leptospirae,o:Leptospirales		0	0	4360	0	0
d:Bacteria,p:Schekmanbacteria,c:uncultured_proteobacterium,o:uncultured_proteobacterium		0	0	4360	0	0
d:Bacteria,p:Schekmanbacteria,c:uncultured_bacterium,o:uncultured_bacterium		0	0	4360	0	0
d:Bacteria,p:Rokubacteria,c:NC10,o:Rokubacteriales		0	0	4360	0	0
d:Bacteria,p:Rokubacteria,c:NC10,o:Methylomirabilales		0	0	4360	0	0
d:Bacteria,p:Proteobacteria,c:Zetaproteobacteria,o:Mariprofundales		0	0	4360	0	0
d:Bacteria,p:Proteobacteria,c:Magnetococcia,o:Magnetococcales		0	0	4360	0	0
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales		0	0	4360	0	0
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:WN-HWB-116		0	0	4360	0	0
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:WD260		0	0	4360	0	0
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Vibrionales		0	0	4360	0	0
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:uncultured		0	0	4360	0	0
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:UBA4486		0	0	4360	0	0
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:UBA10353_marine_group		0	0	4360	0	0
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Thiotrichales		0	0	4360	0	0
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Thiomicrospirales		0	0	4360	0	0
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Thiohalorhabdales		0	0	4360	0	0
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Tenderiales		0	0	4360	0	0
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:SZB50		0	0	4360	0	0
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:SZB30		0	0	4360	0	0
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Steroidobacterales		0	0	4360	0	0
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:SS1-B-04-55		0	0	4360	0	0
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:SBYH-1030		0	0	4360	0	0
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:SAR86_clade		0	0	4360	0	0
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Salinisphaerales		0	0	4360	0	0
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:S1-3-65		0	0	4360	0	0
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Run-SP154		0	0	4360	0	0
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:R7C24		0	0	4360	0	0
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales		0	0	4360	0	0
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:PLTA13		0	0	4360	0	0
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:pItb-vmat-80		0	0	4360	0	0
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Piscirickettsiales		0	0	4360	0	0
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Pasteurellales		0	0	4360	0	0
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:P0X4b2H11		0	0	4360	0	0
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Orbales		0	0	4360	0	0
d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:OM182_clade		0	0	4360	0	0
